iter	RMSE
0	0.1389777615
1	0.1358931406
2	0.1328504898
3	0.1299296801
4	0.1271241947
5	0.1243639333
6	0.1216624294
7	0.1190161077
8	0.11643878
9	0.1139319955
10	0.1114497721
11	0.1090870413
12	0.1067258177
13	0.1044384075
14	0.1022449138
15	0.1001056354
16	0.09802202038
17	0.09601939837
18	0.09404679466
19	0.09210065767
20	0.0902768421
21	0.08848359115
22	0.08668970462
23	0.0849665568
24	0.08326134423
25	0.08163489573
26	0.08001596302
27	0.07850674611
28	0.07698856204
29	0.07551362755
30	0.07406481768
31	0.07271115868
32	0.07139321646
33	0.07012613651
34	0.06887190157
35	0.06763083134
36	0.06645247538
37	0.06529405238
38	0.06414469096
39	0.06304626723
40	0.06201001479
41	0.06097210438
42	0.06000682699
43	0.0590403934
44	0.05811847636
45	0.05718017153
46	0.05630089402
47	0.05541703806
48	0.05458229424
49	0.0537620577
50	0.05296148139
51	0.05218312804
52	0.051458203
53	0.0507769559
54	0.05009124443
55	0.04940959237
56	0.04876894126
57	0.04812947382
58	0.04751407095
59	0.04692823599
60	0.04636536108
61	0.04580629052
62	0.04524686752
63	0.04472149175
64	0.04418264435
65	0.04367728137
66	0.04319625475
67	0.04274199896
68	0.04229694261
69	0.04187603417
70	0.04146541053
71	0.04104226718
72	0.04064618596
73	0.04025436059
74	0.03987715242
75	0.03952798506
76	0.03919600444
77	0.03887430498
78	0.03856042961
79	0.03824723962
80	0.03793079821
81	0.03765715691
82	0.03736681668
83	0.03709116061
84	0.03683522634
85	0.03658822492
86	0.03633362517
87	0.03607763754
88	0.03585501875
89	0.03563451928
90	0.03542841935
91	0.03523052247
92	0.03504104381
93	0.03485048995
94	0.034677198
95	0.03449318134
96	0.03431852131
97	0.03416887347
98	0.03400099017
99	0.0338668469
100	0.03370551301
101	0.03357515466
102	0.03343173321
103	0.03329635953
104	0.03316004139
105	0.03303325611
106	0.03291985737
107	0.03281762825
108	0.03271332511
109	0.03260705715
110	0.03250056948
111	0.03239644737
112	0.0323007184
113	0.03219560536
114	0.03209398185
115	0.03199695982
116	0.03190180509
117	0.03180841236
118	0.03173754254
119	0.03165881104
120	0.03157829084
121	0.03149993765
122	0.03143810627
123	0.03136794783
124	0.03129873213
125	0.03123533706
126	0.03116293814
127	0.031095237
128	0.03104035987
129	0.03099063133
130	0.03092822359
131	0.03085763891
132	0.03080008143
133	0.03074677461
134	0.0306926982
135	0.03063325827
136	0.03058859741
137	0.03054539716
138	0.03049744066
139	0.03045484773
140	0.03040514969
141	0.03037006058
142	0.03033595884
143	0.03028937081
144	0.03025006981
145	0.03020676697
146	0.03017699271
147	0.03013539333
148	0.0300970528
149	0.03005043941
150	0.03002109943
151	0.02999202381
152	0.02996720936
153	0.02993968538
154	0.02991393741
155	0.02989087569
156	0.02985607507
157	0.02982187045
158	0.02979819404
159	0.02976382103
160	0.02973066645
161	0.02970893693
162	0.02968452681
163	0.02965734432
164	0.02963379864
165	0.02961176502
166	0.02958862852
167	0.02957354947
168	0.02955049203
169	0.02951942703
170	0.02949893681
171	0.02947271455
172	0.02945212723
173	0.02942300716
174	0.02939742522
175	0.02937727078
176	0.02935638463
177	0.02933429894
178	0.0293133663
179	0.02929657476
180	0.02928440873
181	0.0292650412
182	0.02924170977
183	0.02921863973
184	0.02920309689
185	0.02918194325
186	0.02916525654
187	0.0291434243
188	0.02912316113
189	0.02909817752
190	0.02907597523
191	0.02905463619
192	0.02904139816
193	0.02902581523
194	0.02900351487
195	0.02898358749
196	0.02896741841
197	0.02894340624
198	0.02892658633
199	0.02891034742
200	0.02888924426
201	0.02887344119
202	0.0288560559
203	0.02884399604
204	0.02883267761
205	0.02881318777
206	0.02879237652
207	0.02877283999
208	0.02875729688
209	0.02874089904
210	0.02872698633
211	0.02871507582
212	0.02870549561
213	0.02868576369
214	0.02867038503
215	0.02865636203
216	0.02864620621
217	0.02863103027
218	0.02862113945
219	0.02860751872
220	0.0285937686
221	0.02857934058
222	0.02856472919
223	0.0285552979
224	0.02854801252
225	0.02853801718
226	0.02852500006
227	0.02850840555
228	0.02849072277
229	0.02847954657
230	0.0284674091
231	0.02845812324
232	0.02844454024
233	0.02843123916
234	0.02841870966
235	0.02840125525
236	0.028394238
